pdg,ke_mev,ptms_mevc,n_slices,n_candidates,n_valid_candidates,reco_available,correct,sd_field_mm,chosen_entry,chosen_track,chosen_length3d,chosen_nhits
13,1163.8029282109376,438.4642111867653,2,1,1,1,1,436.2270507812502,77949,0,230.2783203125,18
13,1656.7382309453126,951.5314556266864,2,1,1,1,1,136.89453125000114,78388,0,509.5912780761719,38
13,799.0483505742187,96.35256927143108,1,0,0,0,0,nan,-1,-1,nan,-1
13,1782.7667953984376,820.487846936547,2,1,1,1,1,609.8089806189905,79612,0,426.7267761230469,35
13,7830.1384995,7247.5208982068425,2,1,1,1,0,-35.371948242176586,80117,0,2509.98583984375,84
13,1979.52521825,938.6610470227018,2,0,0,0,0,nan,-1,-1,nan,-1
13,5692.74836278125,4464.157009701808,2,0,0,0,0,nan,-1,-1,nan,-1
13,1147.1342270390626,181.72875872996838,3,0,0,0,0,nan,-1,-1,nan,-1
-13,1052.1273911015626,419.3084766214975,2,1,1,1,1,-171.10271277794277,82527,0,191.8550567626953,16
13,1389.1623032109376,456.865166060818,3,0,0,0,0,nan,-1,-1,nan,-1
13,27926.929515125,26684.589411240886,2,1,1,1,1,38.96188354492176,82762,0,2756.0712890625,84
13,1575.5847885625,549.4683629071224,2,0,0,0,0,nan,-1,-1,nan,-1
13,2248.6531479375,1721.6284596705157,2,0,0,0,0,nan,-1,-1,nan,-1
13,15764.843577625,15149.885913124932,2,1,1,1,1,227.67179800179974,83712,0,3035.19921875,73
13,1303.4462387578126,160.66949452376514,2,0,0,0,0,nan,-1,-1,nan,-1
-13,14082.8103745,12876.987672807252,2,1,1,1,1,-735.195943509626,85152,0,2819.234619140625,86
13,1806.7527573125,832.7202609658052,2,1,1,1,1,547.6763946533233,86246,0,421.2334289550781,32
13,22840.35334325,22075.016560470875,2,1,1,1,1,1827.783824161747,86294,0,2715.52197265625,74
13,3185.715403796875,529.280408097199,2,0,0,0,0,nan,-1,-1,nan,-1
13,1646.9215805546876,713.8255718382186,2,1,1,1,0,-106.1346266526416,88149,0,370.0137939453125,28
13,1358.2879135625,273.81064149983524,2,0,0,0,0,nan,-1,-1,nan,-1
13,2293.451243640625,1652.9245229801736,3,1,1,1,1,458.5551757812499,88903,0,1104.16455078125,49
13,1472.6647446171876,979.5432524161237,2,0,0,0,0,nan,-1,-1,nan,-1
13,5694.8259995,5061.118696557279,2,1,1,1,1,67.00768103966084,89264,0,572.2672119140625,37
13,1320.1769516484376,330.2943293966318,2,0,0,0,0,nan,-1,-1,nan,-1
13,23358.409983875,22146.571629292717,2,1,1,1,0,-182.99023437499704,90226,0,2984.72802734375,76
13,14881.2859604375,13895.030034841771,2,1,1,1,1,1066.060866641429,90482,0,2748.556396484375,85
13,22082.843577625,20935.841418252658,2,1,1,1,0,-602.1265465369447,91247,0,2913.950439453125,84
-13,8920.85334325,7528.433279500149,2,1,1,1,1,-287.5609130859376,92901,0,1271.3909912109375,56
13,24775.140452625,20498.655637965265,2,1,1,1,1,958.8422447791331,93267,0,2918.04345703125,85
13,1874.1188461796876,800.052843043135,2,1,1,1,1,333.3673696664698,94028,0,455.31610107421875,32
13,9055.86896825,7400.413763498873,2,1,1,1,1,742.3623046875032,94866,0,2337.258544921875,80
13,28281.11896825,27561.035106788335,3,1,1,1,0,-618.1255160179307,94957,0,2583.125732421875,77
13,8094.4519760625,7409.944287422057,2,1,1,1,1,530.2807617187473,95254,0,2694.042724609375,85
13,3495.559642078125,2940.0710004397224,2,1,1,1,1,1000.8906249999973,96149,0,2199.1259765625,65
13,6334.55695653125,5581.620090178657,2,1,1,1,1,156.74435081707725,98440,0,572.0465698242188,36
13,1154.298899890625,179.25822870788411,3,0,0,0,0,nan,-1,-1,nan,-1
13,5933.437327625,4258.091510877509,2,1,1,1,0,-731.1007277629749,99843,0,2587.24267578125,68
13,1553.357981921875,1023.584962106094,2,1,1,1,1,283.22451782222515,99993,0,368.2577819824219,30
-13,17103.43146825,15858.753405446414,2,1,1,1,0,72.24496459961097,100102,0,2890.524658203125,72
13,3449.842356921875,2347.2128063744744,2,1,1,1,1,816.2904437725297,100256,0,1182.411376953125,59
13,2645.012278796875,1589.3690197570636,2,1,1,1,1,1288.201466432824,100557,0,1066.90673828125,52
